Winner,Wikipedia_URL,qid,birth_year
Charles L. Kane,https://en.wikipedia.org/wiki/Charles_L._Kane,Q1065222,1963
Eugene J. Mele,https://en.wikipedia.org/wiki/Eugene_J._Mele,Q30321687,
Blayne Heckel,https://en.wikipedia.org/wiki/Blayne_Heckel,Q99197311,1953
Eric Adelberger,https://en.wikipedia.org/wiki/Eric_Adelberger,Q1351285,1938
Jens Gundlach,https://en.wikipedia.org/wiki/Jens_Gundlach,Q90215434,1961
Hidetoshi Katori,https://en.wikipedia.org/wiki/Hidetoshi_Katori,Q21698500,1964
Jun Ye,https://en.wikipedia.org/wiki/Jun_Ye,Q22005647,1967
Charles H. Bennett,https://en.wikipedia.org/wiki/Charles_H._Bennett,Q450950,
David Deutsch,https://en.wikipedia.org/wiki/David_Deutsch,Q543682,1953
Gilles Brassard,https://en.wikipedia.org/wiki/Gilles_Brassard,Q92938,1955
Peter Shor,https://en.wikipedia.org/wiki/Peter_Shor,Q370071,1959
Alexander Zamolodchikov,https://en.wikipedia.org/wiki/Alexander_Zamolodchikov,Q1333246,1952
John Cardy,https://en.wikipedia.org/wiki/John_Cardy,Q1699541,1947
Alim Louis Benabid,https://en.wikipedia.org/wiki/Alim_Louis_Benabid,Q2836923,1942
Edward S. Boyden,https://en.wikipedia.org/wiki/Edward_S._Boyden,Q5341974,1979
Helen Hobbs,https://en.wikipedia.org/wiki/Helen_Hobbs,Q21433424,1952
Svante Paabo,https://en.wikipedia.org/wiki/Svante_P%C3%A4%C3%A4bo,Q170342,1955
Harry F. Noller,https://en.wikipedia.org/wiki/Harry_F._Noller,Q1586673,1939
Huda Yahya Zoghbi,https://en.wikipedia.org/wiki/Huda_Yahya_Zoghbi,,
Roeland Nusse,https://en.wikipedia.org/wiki/Roeland_Nusse,Q7357582,1950
Stephen J. Elledge,https://en.wikipedia.org/wiki/Stephen_J._Elledge,Q2344805,1956
Yoshinori Ohsumi,https://en.wikipedia.org/wiki/Yoshinori_Ohsumi,Q8056214,1945
Don W. Cleveland,https://en.wikipedia.org/wiki/Don_W._Cleveland,Q24004784,1950
Kazutoshi Mori,https://en.wikipedia.org/wiki/Kazutoshi_Mori,Q1737577,1958
Kim Nasmyth,https://en.wikipedia.org/wiki/Kim_Nasmyth,Q1741557,1952
Peter Walter,https://en.wikipedia.org/wiki/Peter_Walter,Q106367,1954
Adrian R. Krainer,https://en.wikipedia.org/wiki/Adrian_R._Krainer,Q40473018,1958
Angelika Amon,https://en.wikipedia.org/wiki/Angelika_Amon,Q4762704,1967
C. Frank Bennett,https://en.wikipedia.org/wiki/C._Frank_Bennett,Q57446459,1960
Xiaowei Zhuang,https://en.wikipedia.org/wiki/Xiaowei_Zhuang,Q4588704,1972
Zhijian Chen,https://en.wikipedia.org/wiki/Zhijian_Chen,Q8070836,1966
Arthur L. Horwich,https://en.wikipedia.org/wiki/Arthur_L._Horwich,Q449737,1951
David Julius,https://en.wikipedia.org/wiki/David_Julius,Q1174906,1955
F. Ulrich Hartl,https://en.wikipedia.org/wiki/F._Ulrich_Hartl,Q91435,1957
Jeffrey M. Friedman,https://en.wikipedia.org/wiki/Jeffrey_M._Friedman,Q505055,1954
Virginia Man-Yee Lee,https://en.wikipedia.org/wiki/Virginia_Man-Yee_Lee,Q27805732,1945
Catherine Dulac,https://en.wikipedia.org/wiki/Catherine_Dulac,Q5052645,1963
David Baker,https://en.wikipedia.org/wiki/David_Baker,Q1173631,
